speaker,Position,Type,Party,speaker_std,notes,
Francisco Kouri,Alex Kouri's Cousin; ,Illicit,,FRANCISCO KOURI,,
Francisco Moncayo,Ecuadorian Military Official,Foreign,,MONCAYO,,
Juan Manuel Guillen,Mayor of Arequipa (1998-2000),Elected Official,,GUILLEN,,
Luis Albarracin Torres,GENERAL DE BRIGADA,Security,,ALBARRACIN,,
General EP Cesar Cano Angulo,Jefe del Estado Mayor de las Fuerzas Armadas,Security,,CANO ANGULO,,
General EP Julio Salazar Monro,Minister of Defense and Army General,Security,,SALAZAR,,
General EP Cesar Cano,JEFE DEL ESTADO MAYOR DE LAS FUERZAS ARMADAS,Security,,CESAR CANO,,
Patricio Ricketts,Journalist and Media Personality,Media,,RICKETTS,,
Humberto Rozas,Head of Peru's National Intelligence Service (1998-2000),Security,,ROZAS,,
Representante de Estados Unidos,"Foreign government official engaged in civilian diplomacy and intergovernmental coordination, particularly in security assistance, legal cooperation, and development policy.",Foreign,,REPRESENTANTE ESTADOS UNIDOS,,
General Delgado,Commander General of the Army ,Security,,GENERAL DELGADO,,
Domingo Palermo,Minister of Education (1996-1999),Bureaucrat,,PALERMO,,
Enrique Chirinos,"Constituent Congressman (1992-1995), Congress Member (1995-2000)",Congress,Renovacion Nacional,CHIRINOS,,
Julio Vera Abad,Media Businessman; Owned Channel 9 and ATV,Media,,VERA ABAD,,
Ketin Vidal,"Director of DIRCOTE (anti-terrorism unit) in (1991-1992), Director General of the National Police (1996–1997)",Security,,VIDAL,,
Osman Morote,2nd in Command of Sendero Luminoso (Insurgency in Peru),Illict ,,MOROTE,,
Maria Pantoja,Ranking Member of Sendero Luminoso (Insurgency in Peru),Illict ,,PANTOJA,,
Oscar Doufour,"Peripheral or advisory figure in a covert or illicit network, contributing strategic or operational suggestions while maintaining a low-profile role; Publicist/Press Office",Bureaucrat,,DOUFOUR,,
Alberto Kouri,Lawyer and Congressman (2000),Congress,Peru Posible,ALBERTO KOURI,,
Carlos Bolona,Minister of Economy and Finance (1991-1993; 2000),Bureaucrat,,BOLONA,,
Alamo Perez,"Professional journalist or media presenter facilitating high-level interviews for broadcast, particularly around politically or historically significant events.",Media,,PEREZ,,
Santos Cenepo,Military Colonel,Security,,CENEPO,,
