n,speaker_std_1,speaker_std_2,speaker_std_3,speaker_std_4,speaker_std_5,speaker_std_6,speaker_std_7,speaker_std_8,speaker_std_9,speaker_std_10,speaker_std_11,speaker_std_12,speaker_std_13,speaker_std_14,speaker_std_15,speaker_std_16,speaker_std_17,speaker_std_18,speaker_std_19,speaker_std_20,speaker_std_21,speaker_std_22
36,SAUCEDO SANCHEZ,MONTESINOS,DESCONOCIDO,SALAZAR,VILLANUEVA RUESTA,AGUIRRE,BELLO VASQUEZ,FUJIMORI,SUAREZ CARRANZA,ARROYO,BERGAMINO,CARDENAS,DIAZ ARAUJO,ESPINOZA,RODRIGUEZ,INDACOCHEA,LEOPOLDO,MAGNI,IBARCENA,BORNAZ SAAVEDRA,HERMOZA,DIANDERAS
38,ALEX KOURI,IBARCENA,FRANCISCO KOURI,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,ALEX KOURI,MONTESINOS,IBARCENA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,ARCE,MONTESINOS,MEDELIUS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,DESCONOCIDO,ALEX KOURI,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,GAMARRA,VENERO,TAFUR,HUAMAN,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,FUJIMORI,TRELLES,MAHUAD,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,MONTESINOS,VERA,BOROBIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,MONTESINOS,CROUSILLAT CARRENO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,MONTESINOS,ARCE,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,MONTESINOS,GUILLEN,DESCONOCIDO,VALDEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,MONTESINOS,VILLANUEVA RUESTA,MILITAR DESCONOCIDO,CRNL RAMIREZ,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,MONTESINOS,DESCONOCIDO,VILLANUEVA RUESTA,BENIGNO,PURUSANA,FABLISH,SANCHEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,CESAR,MONTESINOS,FERRERO,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,CUCULIZA,MONTESINOS,JOY WAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,MONTESINOS,CROUSILLAT CARRENO,VALCARCEL,CROUSILLAT LOPEZ TORRES,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,CANO ANGULO,DESCONOCIDO,SAUCEDO SANCHEZ,ALBARRACIN,SALAZAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,DESCONOCIDO,SAUCEDO SANCHEZ,ALBARRACIN,SALAZAR,HUAMAN,CANO ANGULO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,GENARO DELGADO PARKER,JOY WAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,GENARO DELGADO PARKER,MONTESINOS,JOY WAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,CALMELL,MONTESINOS,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,MONTESINOS,CALMELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,MONTESINOS,GENARO DELGADO PARKER,DESCONOCIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,MONTESINOS,BEDOYA,REATEGUI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,DESCONOCIDO,BEDOYA,MONTESINOS,REATEGUI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,MONTESINOS,ROMERO SEMINARIO,DESCONOCIDO,IBARCENA,BELLO VASQUEZ,SAUCEDO SANCHEZ,VILLANUEVA RUESTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
